country,amount,mean,continent,color
Austria,78186,SEA,EUROPE_EU,#087FBD
Belgium,134942,SEA,EUROPE_EU,#087FBD
Bulgary,835273,ROAD,EUROPE_EU,#F02233
France,367940,SEA,EUROPE_EU,#087FBD
Germany,888275,SEA,EUROPE_EU,#087FBD
Denmark,68374,ROAD,EUROPE_EU,#F02233
Esthonia,7905,NONE,EUROPE_EU,#FDBB30
Un. Kingdom,928181,SEA,EUROPE_EU,#087FBD
Irland,22849,SEA,EUROPE_EU,#087FBD
Spain,32893,SEA,EUROPE_EU,#087FBD
Italy,302950,SEA,EUROPE_EU,#087FBD
Croatia,7200,SEA,EUROPE_EU,#087FBD
Cyprus,190822,SEA,EUROPE_EU,#087FBD
Latvia,22177,ROAD,EUROPE_EU,#F02233
Lithuania,21930,ROAD,EUROPE_EU,#F02233
Luxemburg,5205,NONE,EUROPE_EU,#FDBB30
Malta,6178,NONE,EUROPE_EU,#FDBB30
Holland,251970,SEA,EUROPE_EU,#087FBD
Hunguary,33205,ROAD,EUROPE_EU,#F02233
Poland,184399,ROAD,EUROPE_EU,#F02233
Portugal,4619,SEA,EUROPE_EU,#087FBD
Roumania,255081,ROAD,EUROPE_EU,#F02233
Slovakia,7866,ROAD,EUROPE_EU,#F02233
Slovenia,5578,NONE,EUROPE_EU,#FDBB30
Sweden,153986,NONE,EUROPE_EU,#FDBB30
Chech Rebublic,59788,ROAD,EUROPE_EU,#F02233
Finland,64165,NONE,EUROPE_EU,#FDBB30
Albania,313686,ROAD,EUROPE_NON_EU,#F02233
Switcherland,121473,SEA,EUROPE_NON_EU,#087FBD
Norway,69213,ROAD,EUROPE_NON_EU,#F02233
Iceland,1223,NONE,EUROPE_NON_EU,#FDBB30
FYROM,574625,ROAD,EUROPE_NON_EU,#F02233
Russia,162166,ROAD,EUROPE_NON_EU,#F02233
Serbia,158088,ROAD,EUROPE_NON_EU,#F02233
Rest of Eyrope countries,96568,ROAD,EUROPE_NON_EU,#F02233
Japan,6959,NONE,ASIA,#FDBB30
Iran,8260,ROAD,ASIA,#F02233
Israel,38142,NONE,ASIA,#FDBB30
China,17951,ROAD,ASIA,#F02233
Lebanon - Syria,24520,NONE,ASIA,#FDBB30
North Korea,7515,NONE,ASIA,#FDBB30
Turkey,296309,ROAD,ASIA,#F02233
Rest countries of Mid East,39577,ROAD,ASIA,#F02233
Rest Asia countries,47040,NONE,ASIA,#FDBB30
Egypt - Sudan,16096,ROAD,AFRICA,#F02233
South African Union,5661,NONE,AFRICA,#FDBB30
Rest countries of Africa,5533,NONE,AFRICA,#FDBB30
Argentina,25181,SEA,AMERICA,#087FBD
Brazil,18811,SEA,AMERICA,#087FBD
Mexico,5166,NONE,AMERICA,#FDBB30
U.S.A.,305411,SEA,AMERICA,#087FBD
Canada,67871,SEA,AMERICA,#087FBD
Rest countries of America,12665,SEA,AMERICA,#087FBD
Australia,51626,SEA,OCEANIA,#087FBD
Rest countries of Oceania,6952,SEA,OCEANIA,#087FBD
